ID,Food Name,Category,kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,fiber_g_100g,sugars_g_100g,sodium_mg_100g
1,Creamy Cucumber,Vegetable,24,1.7,9.3,0.5,2.8,3.8,32,0.08,0.47,0.05
2,Organic Farro,Grain,325,10.3,70.8,5.1,5.6,1.3,4,0.52,3.54,0.51
3,Crispy Peach,Fruit,58,1.0,8.6,0.4,2.3,16.3,4,0.05,0.43,0.04
4,Smoked Trout,Fish,112,18.4,0.8,7.6,0.1,0.4,104,0.92,0.04,0.76
5,Zesty Lamb,Meat,261,23.1,0.9,7.2,0.0,0.5,69,1.16,0.04,0.72
6,Whole Chicken Breast,Meat,151,29.6,0.3,17.9,0.1,0.2,77,1.48,0.01,1.79
7,Hearty Iced Tea,Beverage,42,0.2,16.3,0.5,0.1,19.1,42,0.01,0.82,0.05
8,Whole Pinto Beans,Legume,180,10.2,19.2,0.8,10.2,1.1,2,0.51,0.96,0.08
9,Glazed Pumpkin Seeds,Nut/Seed,560,25.4,19.7,45.9,10.7,6.9,9,1.27,0.98,4.59
10,Tender Coffee,Beverage,48,0.1,0.2,0.1,0.1,8.7,9,0.01,0.01,0.01
11,Toasted Mackerel,Fish,135,29.9,0.7,4.5,0.0,0.5,117,1.49,0.03,0.45
12,Crispy Muffin,Bakery,309,11.2,36.1,14.2,2.2,4.2,775,0.56,1.81,1.42
13,Fresh Black Beans,Legume,127,7.6,24.5,2.3,5.3,1.6,13,0.38,1.23,0.23
14,Smoked Mango,Fruit,54,0.5,8.1,0.5,5.0,13.6,1,0.03,0.4,0.05
15,Smoked Energy Drink,Beverage,66,0.5,0.4,0.0,0.1,0.5,36,0.03,0.02,0.0
16,Toasted Tomato,Vegetable,52,1.6,7.8,0.5,4.7,4.3,12,0.08,0.39,0.05
17,Hearty Chocolate Bar,Snack,351,5.7,44.6,34.2,3.9,7.8,448,0.29,2.23,3.42
18,Toasted Almonds,Nut/Seed,597,16.8,13.4,64.2,12.4,4.3,5,0.84,0.67,6.42
19,Roasted Hot Sauce,Condiment,210,1.1,7.6,26.0,2.4,0.7,856,0.06,0.38,2.6
20,Glazed Hot Sauce,Condiment,63,1.0,6.9,22.3,1.4,17.6,894,0.05,0.35,2.23
21,Spiced Baguette,Bakery,395,11.0,38.6,7.0,2.0,23.8,398,0.55,1.93,0.7
22,Organic Peach,Fruit,47,0.5,11.7,0.2,5.5,13.3,1,0.03,0.58,0.02
23,Creamy Potato Chips,Snack,427,6.0,41.5,21.4,4.2,25.1,383,0.3,2.08,2.14
24,Smoked Donut,Bakery,253,8.7,43.1,5.7,2.7,10.5,527,0.43,2.16,0.57
25,Glazed Crackers,Snack,353,4.5,52.4,28.2,1.3,10.0,848,0.23,2.62,2.82
26,Roasted Millet,Grain,351,12.1,52.7,4.2,10.1,3.4,3,0.6,2.64,0.42
27,Roasted Cashews,Nut/Seed,655,23.6,7.8,41.5,12.3,6.9,7,1.18,0.39,4.15
28,Crispy BBQ Sauce,Condiment,11,4.0,28.5,26.1,1.4,8.1,784,0.2,1.43,2.61
29,Glazed Barley,Grain,317,11.1,49.8,3.7,8.4,4.4,6,0.55,2.49,0.37
30,Crispy Sardines,Fish,142,26.0,0.2,9.4,0.1,0.2,114,1.3,0.01,0.94
31,Tender Yogurt,Dairy,201,4.1,25.9,4.0,0.1,15.6,332,0.2,1.29,0.4
32,Creamy Granola Bar,Snack,365,8.3,55.1,16.5,5.6,23.1,593,0.42,2.75,1.65
33,Creamy Soybeans,Legume,160,11.1,27.3,2.6,10.7,1.9,4,0.55,1.36,0.26
34,Whole Water,Beverage,52,0.4,11.6,0.2,0.5,17.9,40,0.02,0.58,0.02
35,Roasted Banana,Fruit,40,1.2,23.0,0.3,3.8,7.6,1,0.06,1.15,0.03
36,Organic Sunflower Seeds,Nut/Seed,542,21.5,19.0,56.7,13.8,6.8,10,1.07,0.95,5.67
37,Roasted Spinach,Vegetable,31,0.9,11.2,0.3,1.8,1.2,31,0.04,0.56,0.03
38,Roasted Potato Chips,Snack,452,7.7,63.3,18.4,5.5,11.5,369,0.39,3.17,1.84
39,Spiced Black Beans,Legume,168,10.6,21.2,1.2,7.6,2.6,11,0.53,1.06,0.12
40,Golden Sardines,Fish,161,18.8,0.5,8.6,0.1,0.4,98,0.94,0.03,0.86
41,Glazed Potato Chips,Snack,452,6.8,63.5,15.4,2.5,6.9,834,0.34,3.17,1.54
42,Glazed Barley,Grain,278,13.2,57.3,6.1,5.3,0.5,8,0.66,2.86,0.61
43,Toasted Water,Beverage,49,1.3,5.2,0.0,0.2,5.3,41,0.07,0.26,0.0
44,Creamy Broccoli,Vegetable,24,1.9,10.6,0.1,5.0,3.6,22,0.1,0.53,0.01
45,Glazed Sardines,Fish,162,21.1,0.8,11.4,0.0,0.2,100,1.06,0.04,1.14
46,Spiced Oats,Grain,373,13.7,68.7,7.2,4.1,3.0,3,0.68,3.44,0.72
47,Organic Quinoa,Grain,362,12.7,77.3,4.0,7.6,2.1,8,0.64,3.86,0.4
48,Grilled Tuna,Fish,102,28.7,0.9,12.7,0.1,0.2,60,1.44,0.04,1.27
49,Fresh Peanuts,Nut/Seed,528,17.4,12.6,55.9,9.4,2.1,0,0.87,0.63,5.59
50,Grilled Cornmeal,Grain,378,13.6,52.7,7.4,7.4,4.6,1,0.68,2.64,0.74
51,Organic Soybeans,Legume,172,8.0,29.9,1.7,7.0,1.7,11,0.4,1.49,0.17
52,Crispy Ham,Meat,257,19.1,0.9,6.4,0.1,0.3,54,0.96,0.04,0.64
53,Roasted Potato Chips,Snack,368,7.8,57.6,20.2,5.2,5.4,501,0.39,2.88,2.02
54,Golden Lentils,Legume,152,7.5,20.3,2.1,8.8,0.6,13,0.38,1.02,0.21
55,Golden Coffee,Beverage,22,0.5,8.3,0.3,0.4,9.1,8,0.03,0.42,0.03
56,Grilled Milk,Dairy,281,9.2,22.1,1.3,0.1,25.7,276,0.46,1.1,0.13
57,Glazed Mango,Fruit,37,0.4,24.1,0.3,4.6,11.1,4,0.02,1.21,0.03
58,Roasted Kefir,Dairy,321,10.4,10.7,21.6,0.1,9.3,658,0.52,0.53,2.16
59,Creamy Bread,Bakery,414,5.7,37.0,12.7,2.6,6.8,265,0.29,1.85,1.27
60,Organic Quinoa,Grain,342,8.9,65.0,4.9,3.1,3.1,5,0.45,3.25,0.49
61,Tender Beet,Vegetable,54,3.0,5.1,0.1,5.4,2.5,6,0.15,0.26,0.01
62,Grilled Apple Juice,Beverage,20,0.7,16.4,0.4,0.8,3.2,27,0.03,0.82,0.04
63,Fresh Milk,Dairy,160,27.0,21.3,12.3,0.1,12.2,672,1.35,1.06,1.23
64,Zesty Pepper,Vegetable,32,2.8,5.8,0.6,4.7,3.7,17,0.14,0.29,0.06
65,Golden Pinto Beans,Legume,138,9.4,23.5,1.8,7.4,1.3,5,0.47,1.18,0.18
66,Organic Wheat Pasta,Grain,307,13.5,76.1,7.1,11.7,4.8,0,0.68,3.8,0.71
67,Grilled Kefir,Dairy,395,25.7,10.0,24.8,0.0,23.1,590,1.28,0.5,2.48
68,Toasted Pineapple,Fruit,50,0.5,16.8,0.8,5.1,9.4,4,0.03,0.84,0.08
69,Hearty Pistachios,Nut/Seed,585,20.4,22.4,55.3,8.0,6.5,4,1.02,1.12,5.53
70,Zesty Cottage Cheese,Dairy,83,6.6,29.2,9.7,0.2,11.6,487,0.33,1.46,0.97
71,Roasted Sausage,Meat,295,27.5,1.5,20.3,0.1,0.0,84,1.38,0.07,2.03
72,Golden Croissant,Bakery,265,7.8,62.9,5.7,4.2,8.6,310,0.39,3.15,0.57
73,Grilled Croissant,Bakery,406,9.8,63.4,10.8,1.6,19.5,309,0.49,3.17,1.08
74,Glazed Pistachios,Nut/Seed,608,13.3,18.2,63.7,13.7,7.0,6,0.67,0.91,6.37
75,Whole Peach,Fruit,78,0.4,15.4,0.2,3.4,14.4,3,0.02,0.77,0.02
76,Toasted Hot Sauce,Condiment,332,4.0,0.6,43.5,1.0,18.5,784,0.2,0.03,4.35
77,Zesty Lentils,Legume,174,11.7,25.7,2.7,9.2,2.5,12,0.58,1.28,0.27
78,Spiced Granola Bar,Snack,356,5.7,51.4,17.7,2.5,33.6,384,0.29,2.57,1.77
79,Crispy Bagel,Bakery,365,7.4,49.1,7.7,1.8,15.7,524,0.37,2.46,0.77
80,Hearty Baguette,Bakery,289,7.2,48.2,5.6,3.4,3.9,426,0.36,2.41,0.56
81,Glazed Bagel,Bakery,312,8.7,42.4,8.8,4.9,13.7,275,0.43,2.12,0.88
82,Glazed Berry Mix,Fruit,58,0.3,23.8,0.3,2.3,7.4,3,0.01,1.19,0.03
83,Fresh Iced Tea,Beverage,61,1.0,13.3,0.3,0.4,1.1,15,0.05,0.67,0.03
84,Grilled Orange,Fruit,42,0.2,9.4,0.5,2.8,10.2,0,0.01,0.47,0.05
85,Roasted Cornmeal,Grain,277,7.6,71.3,7.8,6.8,1.2,3,0.38,3.56,0.78
86,Tender Barley,Grain,334,10.1,61.9,5.7,3.6,2.3,4,0.51,3.09,0.57
87,Smoked Couscous,Grain,379,10.4,71.8,6.4,2.7,3.7,3,0.52,3.59,0.64
